maliciousRate,reportsSent_mean,reportsSent_std,reportsRxAtRsu_mean,reportsRxAtRsu_std,reportsCommitted_mean,reportsCommitted_std,blocks_mean,blocks_std,avgBlockLatency_ms_mean,avgBlockLatency_ms_std,avgLedgerTrust_mean,avgLedgerTrust_std,pdr_norm_mean,pdr_norm_std,avgDelay_s_mean,avgDelay_s_std,throughput_bps_mean,throughput_bps_std
0.1,2156.0,2952.2245849528454,927.4,1404.4959238103897,927.4,1404.4959238103897,40.4,56.327613121807325,4.3050060000000006,6.189328749321691,0.7648488,0.04813276290843903,0.9237415999999999,0.10476961395032441,0.000730263,0.00011112021342447104,879485.0,99750.2934983151
0.2,5768.0,3888.8776658568217,2458.0,2298.6916931158903,2455.8,2297.329144898484,80.4,48.89580759124447,8.241074000000001,6.626925086748756,0.7033368,0.06517065340089818,0.7914966,0.14431141195449507,0.0008815406,0.0003519502763435483,753575.6,137397.6329246614
0.3,7587.8,5811.641566717617,3619.8,2924.445024273836,3614.8,2920.7813509401894,84.6,51.60232552899142,6.585928,6.489767287639829,0.6681854,0.09825640634737258,0.707013,0.211594340219676,0.0011371702000000001,0.0004953838458218031,673139.6,201457.10143303464
0.4,11013.2,5157.330966691977,5947.6,3881.806319228202,5933.2,3886.559493948343,113.8,7.758865896508329,6.699492000000001,2.7107955504464,0.5978950000000001,0.10114553174757646,0.5669944,0.21101669104907317,0.0016537179999999998,0.00126542393392669,539829.8,200906.80348036997
0.5,13178.0,4874.086222052293,5501.6,4192.461603879039,5491.2,4192.4897972445915,109.6,13.722244714331543,7.760642,3.8842618947259466,0.5627489999999999,0.08564020875441633,0.5089794000000001,0.17172080960617442,0.0015963103999999998,0.0013033263539153576,484594.2,163493.62320194632
