nVehicles,nRuns,pdr_norm_mean,avgDelay_s_mean,throughput_bps_mean,avgLedgerTrust_mean,avgHandoverDelay_s_mean,avgBlockLatency_s_mean,reportsCommitted_mean,pdr_norm_std,avgDelay_s_std,throughput_bps_std,avgLedgerTrust_std,avgHandoverDelay_s_std,avgBlockLatency_s_std,reportsCommitted_std
10,5,0.8339601999999999,0.0011822008,52104.159999999996,0.8004000000000001,0.02,0.05,16.0,0.07656640665265678,0.00036291295167532937,4783.70487885697,0.002701851217221275,0.0,0.0,2.9154759474226504
30,5,0.719434,0.0009560374,144835.2,0.8000668000000001,0.02,0.05,17.0,0.06342910039957997,4.8759342441218426e-05,12769.330471876745,0.0009251006431734923,0.0,0.0,0.7071067811865476
50,5,0.6995918,0.0009827844000000001,237971.8,0.79992,0.02,0.05,16.4,0.06256384851653549,7.437119956206167e-05,21281.60114277119,0.0005215361924161899,0.0,0.0,0.8944271909999161
100,5,0.6803627999999999,0.0009794693999999999,467584.8,0.80008,0.02,0.05,16.4,0.06049413135338003,5.368550699956185e-05,41575.157374326314,0.00030331501776205427,0.0,0.0,0.8944271909999161
