time_s,event,details
1.90026,DATA_DROP_REPLAY,rx=10,sender=0,nonce=1800000000
1.90026,DATA_DROP_REPLAY,rx=4,sender=0,nonce=1800000000
1.90026,DATA_DROP_REPLAY,rx=7,sender=0,nonce=1800000000
1.90026,DATA_DROP_REPLAY,rx=11,sender=0,nonce=1800000000
1.90026,DATA_DROP_REPLAY,rx=9,sender=0,nonce=1800000000
1.90026,DATA_DROP_REPLAY,rx=6,sender=0,nonce=1800000000
2,REPORT_SENT,by=0,about=5,delta=-0.050000
2,REPORT_SENT,by=1,about=5,delta=0.010000
2,REPORT_SENT,by=2,about=6,delta=-0.050000
2,REPORT_SENT,by=3,about=0,delta=0.010000
2,REPORT_SENT,by=4,about=2,delta=0.010000
2,REPORT_SENT,by=5,about=7,delta=0.010000
2,REPORT_SENT,by=6,about=6,delta=-0.050000
2,REPORT_SENT,by=7,about=0,delta=0.010000
2,REPORT_SENT,by=8,about=4,delta=0.010000
2,REPORT_SENT,by=9,about=3,delta=0.010000
2.00019,REPORT_RX_RSU,rsu=10,by=4,about=2,delta=0.010000
2.00052,REPORT_RX_RSU,rsu=10,by=0,about=5,delta=-0.050000
2.00091,DATA_DROP_SIG,rx=1,sender=0,nonce=2000000000
2.00091,DATA_DROP_SIG,rx=5,sender=0,nonce=2000000000
2.00091,DATA_DROP_SIG,rx=2,sender=0,nonce=2000000000
2.00091,DATA_DROP_SIG,rx=3,sender=0,nonce=2000000000
2.00091,DATA_DROP_SIG,rx=8,sender=0,nonce=2000000000
2.00091,DATA_DROP_SIG,rx=10,sender=0,nonce=2000000000
2.00091,DATA_DROP_SIG,rx=4,sender=0,nonce=2000000000
2.00091,DATA_DROP_SIG,rx=7,sender=0,nonce=2000000000
2.00091,DATA_DROP_SIG,rx=11,sender=0,nonce=2000000000
2.00091,DATA_DROP_SIG,rx=9,sender=0,nonce=2000000000
2.00091,DATA_DROP_SIG,rx=6,sender=0,nonce=2000000000
2.001,REPORT_RX_RSU,rsu=10,by=8,about=4,delta=0.010000
