scenario,rxCount_mean,rxCount_std,replayDrops_mean,replayDrops_std,sigDrops_mean,sigDrops_std,avgDelay_ms_mean,avgDelay_ms_std,throughput_kbps_mean,throughput_kbps_std,pdr_mean,pdr_std
Secure_Invalid,15284.4,108.38034877227501,0.0,0.0,1691.6,26.595112332908062,0.6620847999999999,7.596051605932248e-06,544.1246,3.858436574572651,0.8938246,0.006338081200174099
Secure_Reference,16976.0,122.18837915284729,0.0,0.0,0.0,0.0,0.6620846,7.765307463294187e-06,604.3456,4.34990221729181,0.9927484,0.007145622247222418
Secure_Replay,16976.4,122.10773931246165,533.4,9.016651263079874,0.0,0.0,0.6747854,0.003081500089242261,604.3598,4.346830132406835,0.962381,0.006922100150965746
