scenario,handoverCount_mean,handoverCount_std,fastAuthCount_mean,fastAuthCount_std,fullAuthCount_mean,fullAuthCount_std,rejectCount_mean,rejectCount_std,avgHandoverDelay_ms_mean,avgHandoverDelay_ms_std,meanEventTrust_mean,meanEventTrust_std
FAST_Biased,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.861,0.0
FULL_Biased,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,0.161,0.0
