maliciousRate,nRuns,pdr_norm_mean,avgDelay_s_mean,throughput_bps_mean,replayDrops_mean,sigDrops_mean,avgLedgerTrust_mean,avgHandoverDelay_s_mean,rejectCount_mean,blocks_mean,avgBlockLatency_s_mean,reportsCommitted_mean,pdr_norm_std,avgDelay_s_std,throughput_bps_std,replayDrops_std,sigDrops_std,avgLedgerTrust_std,avgHandoverDelay_s_std,rejectCount_std,blocks_std,avgBlockLatency_s_std,reportsCommitted_std
0.0,5,0.9067019999999999,0.0009605056,182535.4,1671.8,0.0,0.8056668,0.02,0.0,19.0,0.05,17.0,0.07495370474833118,1.6908243057751448e-05,15089.599971503552,141.1477948818188,0.0,0.00023582027054524498,0.0,0.0,0.0,0.0,0.7071067811865476
0.1,5,0.8283288000000001,0.0009558176,166757.6,1671.8,443.2,0.8040668,0.02,0.0,19.0,0.05,17.0,0.06900894207057516,2.7868006697645234e-05,13892.634984048202,141.1477948818188,34.29577233421053,0.0009251006431734923,0.0,0.0,0.0,0.0,0.7071067811865476
0.2,5,0.719434,0.0009560374,144835.2,1671.8,1059.0,0.8000668000000001,0.02,0.0,19.0,0.05,17.0,0.06342910039957997,4.8759342441218426e-05,12769.330471876745,141.1477948818188,68.81496930174424,0.0009251006431734923,0.0,0.0,0.0,0.0,0.7071067811865476
0.4,5,0.5382846,0.0009608602000000001,108366.4,1671.8,2083.4,0.7964667999999999,0.02,0.0,19.0,0.05,17.0,0.04918425044971203,4.743109295282998e-05,9901.792630630074,141.1477948818188,146.07977272709596,0.001120719054892905,0.0,0.0,0.0,0.0,0.7071067811865476
0.6,5,0.3424226,0.0009469918000000001,68935.84,1671.8,3191.0,0.7924668,0.02,0.0,19.0,0.05,17.0,0.03272912905654534,6.692849450495652e-05,6589.010879335378,141.1477948818188,238.89642106988543,0.001120719054892905,0.0,0.0,0.0,0.0,0.7071067811865476
0.8,5,0.1940584,0.0009280158,39067.44,1671.8,4030.0,0.7832668,0.02172852,0.0,19.0,0.05,17.0,0.020439139274930344,0.00010945433891902136,4114.734796800396,141.1477948818188,308.3739612872656,0.0007227801878856797,0.0031555460838022945,0.0,0.0,0.0,0.7071067811865476
