scenario,pdr_norm_mean,pdr_norm_std,avgDelay_ms_mean,avgDelay_ms_std,throughput_kbps_mean,throughput_kbps_std,avgLedgerTrust_mean,avgLedgerTrust_std,avgBlockLatency_ms_mean,avgBlockLatency_ms_std,reportsCommitted_mean,reportsCommitted_std,blocks_mean,blocks_std
BC_ALWAYS_QUERY,1.0,0.0,0.6660126,1.516575088778274e-06,645.84,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BC_TRUST,1.0,0.0,0.6660126,1.516575088778274e-06,645.84,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRUST_ONLY,1.0,0.0,0.6660126,1.516575088778274e-06,645.84,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
