maliciousRate,reportsSent_mean,reportsSent_std,reportsRxAtRsu_mean,reportsRxAtRsu_std,reportsCommitted_mean,reportsCommitted_std,blocks_mean,blocks_std,avgBlockLatency_ms_mean,avgBlockLatency_ms_std,avgLedgerTrust_mean,avgLedgerTrust_std,pdr_norm_mean,pdr_norm_std,avgDelay_s_mean,avgDelay_s_std,throughput_bps_mean,throughput_bps_std
0.1,2156.0,2952.2245849528454,927.4,1404.4959238103897,917.2,1387.792203465634,21.2,29.87808561471099,6.73098,9.513737533798166,0.7648516000000001,0.04812892898039601,0.9237415999999999,0.10476961395032441,0.000730263,0.00011112021342447104,879485.0,99750.2934983151
0.2,5768.0,3888.8776658568217,2458.0,2298.6916931158903,2449.0,2291.9936736387385,45.4,29.177045772319033,13.2364,8.90291083606929,0.7033376,0.06517095750255635,0.7914966,0.14431141195449507,0.0008815406,0.0003519502763435483,753575.6,137397.6329246614
0.3,7587.8,5811.641566717617,3619.8,2924.445024273836,3602.0,2912.9357184805845,50.0,31.591137997862628,12.02702,8.533126648655815,0.6681912000000001,0.09824746160435906,0.707013,0.211594340219676,0.0011371702000000001,0.0004953838458218031,673139.6,201457.10143303464
0.4,11013.2,5157.330966691977,5947.6,3881.806319228202,5920.2,3875.802200835332,66.6,9.838699100999076,13.20408,2.6924047303479464,0.5979038,0.10112993811280618,0.5669944,0.21101669104907317,0.0016537179999999998,0.00126542393392669,539829.8,200906.80348036997
0.5,13178.0,4874.086222052293,5501.6,4192.461603879039,5479.0,4180.197244150089,62.8,12.417729261020309,14.201519999999999,3.552841796646735,0.5627506,0.08564369824628078,0.5089794000000001,0.17172080960617442,0.0015963103999999998,0.0013033263539153576,484594.2,163493.62320194632
