mineDelayMs,avgBlockLatency_ms_mean,avgBlockLatency_ms_std,reportsCommitted_mean,reportsCommitted_std,blocks_mean,blocks_std,avgLedgerTrust_mean,avgLedgerTrust_std,pdr_norm_mean,pdr_norm_std,avgDelay_s_mean,avgDelay_s_std,throughput_bps_mean,throughput_bps_std
10,5.0,0.0,5947.6,3881.806319228202,114.8,7.155417527999329,0.5978952000000001,0.1011445110557167,0.5669944,0.21101669104907317,0.0016537179999999998,0.00126542393392669,539829.8,200906.80348036997
20,5.0,0.0,5947.6,3881.806319228202,114.8,7.155417527999329,0.5978952000000001,0.1011445110557167,0.5669944,0.21101669104907317,0.0016537179999999998,0.00126542393392669,539829.8,200906.80348036997
30,5.332674,0.7438816783467652,5944.4,3885.9197495573685,114.6,7.602631123499284,0.5978966,0.10114648731320329,0.5669944,0.21101669104907317,0.0016537179999999998,0.00126542393392669,539829.8,200906.80348036997
40,5.921632,2.041933889752555,5946.0,3883.861931119591,114.6,7.602631123499284,0.5978958000000001,0.10114546658006965,0.5669944,0.21101669104907317,0.0016537179999999998,0.00126542393392669,539829.8,200906.80348036997
50,6.699492000000001,2.7107955504464,5933.2,3886.559493948343,113.8,7.758865896508329,0.5978950000000001,0.10114553174757646,0.5669944,0.21101669104907317,0.0016537179999999998,0.00126542393392669,539829.8,200906.80348036997
